"REF_DATE","GEO","DGUID","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","718332","","","","0"
"2009-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","707592","","","","0"
"2009-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","702244","","","","0"
"2009-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","702484","","","","0"
"2009-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","708368","","","","0"
"2010-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","713564","","","","0"
"2010-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","722120","","","","0"
"2010-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","731592","","","","0"
"2010-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","743188","","","","0"
"2011-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","756808","","","","0"
"2011-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","762244","","","","0"
"2011-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","769464","","","","0"
"2011-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","778164","","","","0"
"2012-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","786272","","","","0"
"2012-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","796192","","","","0"
"2012-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","805404","","","","0"
"2012-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","810728","","","","0"
"2013-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","820076","","","","0"
"2013-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","823448","","","","0"
"2013-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","830520","","","","0"
"2013-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","840904","","","","0"
"2014-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","848120","","","","0"
"2014-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","857052","","","","0"
"2014-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","868172","","","","0"
"2014-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","870868","","","","0"
"2015-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","880528","","","","0"
"2015-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","885148","","","","0"
"2015-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","885672","","","","0"
"2015-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","886292","","","","0"
"2016-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","876816","","","","0"
"2016-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","877344","","","","0"
"2016-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","879776","","","","0"
"2016-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","886616","","","","0"
"2017-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","899864","","","","0"
"2017-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","912640","","","","0"
"2017-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","930628","","","","0"
"2017-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","945240","","","","0"
"2018-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","955604","","","","0"
"2018-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","960940","","","","0"
"2018-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","967868","","","","0"
"2018-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","979576","","","","0"
"2019-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","989108","","","","0"
"2019-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","1003600","","","","0"
"2019-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","1016180","","","","0"
"2019-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","1028232","","","","0"


